genus	abstract	link
Acidobacterium	A.ci'do.bac.ter'i.um. N.L. n. acidum an acid; L. neut. n. bacterium a small rod; N.L. neut. n. Acidobacterium an acid-loving rod. Acidobacteria / Acidobacteriia / Acidobacteriales / Acidobacteriaceae / Acidobacterium Rod-shaped cells, 0.3–0.8 µm × 1.1–2.3 µm. Gram-stain-negative. Nonphotosynthetic. Nonsporeforming. Cells occur singly, in pairs, or in short chains. Capsule produced. Aerobic, having an obligately aerobic metabolism. Acidophilic. Growth at pH 3.0–6.0, but not at 6.5. No growth at 3.5% NaCl. Do not denitrify. Catalase-positive. Chemoorganotrophic. Growth on a variety of sugars including glucose as the sole carbon source. No growth on alcohols including methanol. Growth is inhibited by 0.25 mM acetate, 2 mM lactate, and 4 mM succinate. Growth at 25–37°C but not at 42°C. Motile by peritrichous flagella. The major quinone is menaquinone with eight isoprene units (MK-8). The major fatty acid is C15:0. 2- and 3-Hydroxy fatty acids are absent except for trace amounts of C12:0. Source: acid mine drainage in the Yanahaya mine, Okayama, Japan. DNA G+C content (mol%): 59.7–60.8. Type species: Acidobacterium capsulatum Kishimoto, Kosako and Tano 1991b, 456VP (Effective publication: Kishimoto, Kosako and Tano 1991c, 6.).	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00001/abstract
Edaphobacter	E.da'pho.bac'ter. Gr. neut. n. edaphos soil; N.L. masc. n. bacter a short rod; N.L. masc. n. Edaphobacter rod of the soil. Acidobacteria / Acidobacteriia / Acidobacteriales / Acidobacteriaceae / Edaphobacter Rod-shaped cells, 1.0–2.1 µm × 0.5–0.9 µm. Gram-stain-negative. Nonsporeforming. Cells occur singly or in clumps. Do not form capsule. Aerobic, having an obligately aerobic metabolism with oxygen as the terminal electron acceptor. Acidophilic. Growth at pH 4.0–7.0, with a pH optimum of 5.5. Catalase-positive. Chemoorganotrophic. Growth on a variety of sugars, some amino acids, yeast extract, and peptone as the sole carbon source. Growth between 15 and 37°C, with a temperature optimum of 30°C. May be motile or nonmotile. Major fatty acids include C16:1 ω7c/C15:0 iso 2-OH and C17:1 ω8c. Isolated from mollisol on Jochberg in southern Germany and leptosol in a forest near Würzburg, Germany. DNA G+C content (mol%): 55.8–56.9. Type species: Edaphobacter modestus Koch, Gich, Dunfield and Overmann 2008, 1121VP.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00002/abstract
Terriglobus	er.ri.glo'bus. L. fem. n. terra earth; L. masc. n. globus ball, clump; N.L. masc. n. Terriglobus clump of earth. Acidobacteria / Acidobacteriia / Acidobacteriales / Acidobacteriaceae / Terriglobus Rod-shaped cells, 0.5–0.7 µm × 0.9–1.4 µm. Gram-stain-negative. Cells occur singly or in clumps. Extracellular matrix produced. Aerobic, having an obligately aerobic metabolism. Acidophilic. Growth at pH 4.5–7.0, with optimum between pH 5–6. Catalase-positive. Negative for oxidase activity. Chemoorganotrophic. Growth on a variety of sugars as well as succinate as the sole carbon source. Growth at 12–23°C, but not at 4 or 37°C. Nonmotile. The major fatty acid is C16:1 ω7c/C15:0 iso 2-OH. DNA G+C content (mol%): 59.8. Type species: Terriglobus roseus Eichorst, Breznak and Schmidt 2007a, 2716.)	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00003/abstract
Acanthopleuribacter	A.can'tho.pleu.ri.bac'ter. N.L. n. Acanthopleura mollusk genus designation; N.L. masc. n. bacter a rod; N.L. masc. n. Acanthopleuribacter a rod from Acanthopleura, in reference to the source of the type strain, the chiton Acanthopleura japonica. Acidobacteria / Holophagae / Acanthopleuribacterales / Acanthopleuribacteraceae / Acanthopleuribacter Rod-shaped cells, 0.7–1.0 µm × 2.4–4.7 µm. Gram-negative by TEM inspection. Aerobic, having an obligately aerobic metabolism. Mesophilic. Growth at pH 5.0–9.0, optimally at pH 7.0–8.0. Do not reduce nitrate or nitrite. Chemoorganotrophic. Growth on a variety of amino acids including L-serine, as well as α-D-glucose as the sole carbon source. Growth on marine agar from 15 to 30°C with optimum growth at 30°C. Motile by peritrichous flagella. The major quinones are menaquinone with six and seven isoprene units (MK-6, MK-8). The major fatty acids are C15:0 iso, C17:0 iso, C16:0; major hydroxy fatty acids are C13:0 iso 3-OH and C17:0 iso 3-OH. Source: Acanthopleura japonica chiton from the Boso peninsula, Chiba, Japan. DNA G+C content (mol%): 56.7. Type species: Acanthopleuribacter pedis Fukunaga, Kurahashi, Yanagi, Yokota and Harayama 2008, 2600VP.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00004/abstract
Geothrix	Ge'o.thrix. Gr. n. gê earth; Gr. fem. n. thrix hair; N.L. fem. n. Geothrix hair of earth, refers to the cell morphology under fumarate-reducing conditions. Acidobacteria / Holophagae / Holophagales / Holophagaceae / Geothrix Rod-shaped cells 0.1 µm × 1–2 µm. Nonphotosynthetic. Nonsporeforming. Cells occur singly and in chains. Anaerobic, having an obligately anaerobic metabolism that can be either fermentative or respiratory using nitrate, Mn(IV), anthraquinone-2,6-disulfonate (AQDS), poorly crystalline iron(III) oxide, and iron(III) chelated with nitrilotriacetic acid [Fe(III)-NTA] or citrate as alternative electron acceptors. Chemoorganotrophic. Growth on yeast extract and organic acids including acetate and lactate, but not on alcohols including ethanol. Capable of fermenting organic acids including citrate and fumarate. End products of citrate fermentation are acetate and succinate. Optimal growth is 35–40°C. No growth at or below 25°C. Nonmotile. Contains c-type cytochromes. DNA G+C content (mol%): unknown. Type species: Geothrix fermentans Coates, Ellis, Gaw and Lovley 1999, 1620VP.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00005/abstract
Holophaga	Ho.lo'pha.ga. Gr. adj. holos entire; Gr. v. phagein to eat; N.L. fem. n. Holophaga eating it all. Acidobacteria / Holophagae / Holophagales / Holophagaceae / Holophaga Rod-shaped cells, 0.5–0.7 µm × 1–3 µm. Gram-stain-negative. Nonphotosynthetic. Nonsporeforming. Anaerobic, having strictly anaerobic metabolism that is obligately fermentative. Ferments trimethoxybenzoate and syringate to dimethylsulfide and methanediol. Ferments pyruvate and trihydroxybenzenes such as pyrogallol and gallate, as well as methylated derivatives of hydroxybenzene including 3,4,5-trimethoxybenzoate (TMB). Aromatics are fermented to acetate. Optimal growth is at 28–32°C. No growth below 10°C or above 35°C. Optimum growth from pH 6.8 to 7.5. No growth below pH 5.5 or above pH 8.0. Growth with NaCl from 0.1 to 1.5%. Nonmotile. Contains c-type cytochromes. DNA G+C content (mol%): 62.5. Type species: Holophaga foetida Liesack, Bak, Kreft and Stackebrandt 1995, 197VP (Effective publication: Liesack, Bak, Kreft and Stackebrandt 1994, 89.).	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00006/abstract
Acidimicrobium	A.ci.di.mi.cro'bi.um. N.L. neut. n. acidum (from L. adj. acidus sour) an acid; Gr. adj. mikros small; Gr. masc. n. bios life; N.L. neut. n. microbium, a microbe; N.L. neut. n. Acidimicrobium referring to a small bacterium from acidic environments. Actinobacteria / Acidimicrobiia / Acidimicrobiales / Acidimicrobiaceae / Acidimicrobium Thermotolerant or moderately thermophilic, acidophilic bacterium. Small, rod-shaped cells, which may be in filaments of variable length. Optimum growth occurs at 45–50°C and approximately pH 2. Heterotrophic growth occurs on yeast extract, during which cells are motile. Autotrophic growth occurs on ferrous iron. Most rapid growth is observed aerobically with ferrous iron and yeast extract. Found in warm, acidic, mineral sulfide-rich environments. DNA G+C content (mol%): 67–68 (T m and HPLC). Type species: Acidimicrobium ferrooxidans Clark and Norris 1996a, 1189VP (Effective publication: Clark and Norris 1996b, 790.).	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00007/abstract
Ferrimicrobium	Fer.ri.mi.cro'bi.um. L. n. ferrum iron; N.L. neut. n. microbium microbe; N.L. neut. n. Ferrimicrobium iron microbe, referring to its capacity for ferrous iron oxidation. Actinobacteria / Acidimicrobiia / Acidimicrobiales / Acidimicrobiaceae / Ferrimicrobium Motile rods, Gram-stain-negative. Acidophilic, mesophilic, and obligately heterotrophic. Capable of oxidation of ferrous iron and pyrite, and reduction of ferric iron. Grows with yeast extract or a limited range of organic compounds. DNA G+C content (mol%): 55 (T m). Type species: Ferrimicrobium acidiphilum Johnson, Bacelar-Nicolau, Okibe, Thomas and Hallberg 2009, 1087VP.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00008/abstract
Ferrithrix	Fer.ri.thr'ix. L. n. ferrum iron; Gr. fem. n. thrix hair, thread; N.L. fem. n. Ferrithrix iron thread, referring to filamentous nature and capacity for ferrous iron oxidation. Actinobacteria / Acidimicrobiia / Acidimicrobiales / Acidimicrobiaceae / Ferrithrix Grows as filaments (occasionally as single rods). Gram-stain-negative. Acidophilic, thermotolerant, or moderately thermophilic, with optimum growth at 43°C. Obligately heterotrophic. Grows on yeast extract, glycerol, or ethanol. Capable of ferrous iron oxidation and ferric iron reduction. Unknown growth factor(s) from yeast extract is (are) required for growth. DNA G+C content (mol%): 50 (T m). Type species: Ferrithrix thermotolerans Johnson, Bacelar-Nicolau, Okibe, Thomas and Hallberg 2009, 1088VP.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00009/abstract
Iamia	I.a'mi.a. N.L. fem. n. Iamia arbitrary name formed from the acronym of the Institute of Applied Microbiology at the University of Tokyo, which has made significant contributions to microbiology. Actinobacteria / Acidimicrobiia / Acidimicrobiales / Iamiaceae / Iamia Gram-stain-positive rods. Aerobic. Oxidase- and catalase-positive. Mesophilic. The predominant menaquinone is MK-9(H6). The major whole-cell fatty acids are C17:0, C17:1 ω8c, C15:0, and C16:0. Isolated from the epidermis of a sea cucumber and grown on marine agar. DNA G+C content (mol%): 74. Type species: Iamia majanohamensis Kurahashi, Fukunaga, Sakiyama, Harayama and Yokota 2009, 871VP.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00010/abstract
