========================================================================= 
Log Path: log_file.log 
Working Directory: /home/user/Projects/CUNY/bergeys.webscraper/misc 
User Name: user 
R Version: 4.3.1 (2023-06-16) 
Machine: pop-os x86_64 
Operating System: Linux 6.5.6-76060506-generic #202310061235~1697396945~22.04~9283e32 SMP PREEMPT_DYNAMIC Sun O 
Base Packages: stats graphics grDevices utils datasets methods base Other Packages: readr_2.1.4 logr_1.3.4 dplyr_1.1.3 purrr_1.0.2 stringr_1.5.0 rvest_1.0.3 
Log Start Time: 2023-11-10 11:15:26.462624 
========================================================================= 
Number of links: 1373 

Got Acidobacterium† - Number 1. Time: 2023-11-10 11:15:27.966443. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00001/abstract 
Got Edaphobacter † - Number 2. Time: 2023-11-10 11:15:29.279027. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00002/abstract 
Got Terriglobus † - Number 3. Time: 2023-11-10 11:15:32.519837. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00003/abstract 
Got Acanthopleuribacter † - Number 4. Time: 2023-11-10 11:15:33.729609. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00004/abstract 
Got Geothrix † - Number 5. Time: 2023-11-10 11:15:35.396883. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00005/abstract 
Got Holophaga † - Number 6. Time: 2023-11-10 11:15:36.875728. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00006/abstract 
Got Acidimicrobium † - Number 7. Time: 2023-11-10 11:15:38.375569. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00007/abstract 
Got Ferrimicrobium † - Number 8. Time: 2023-11-10 11:15:45.005312. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00008/abstract 
Got Ferrithrix † - Number 9. Time: 2023-11-10 11:15:46.053592. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00009/abstract 
Got Iamia † - Number 10. Time: 2023-11-10 11:15:47.462182. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00010/abstract 
Got Actinobaculum † - Number 11. Time: 2023-11-10 11:15:48.948567. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00011/abstract 
